"time","Packets"
"21:19:51",10
"21:19:54",10
"21:19:57",20
"21:20:00",0
"21:20:03",20
"21:20:06",10
"21:20:09",5
"21:20:12",20
"21:20:15",5
"21:20:18",15
"21:20:21",20
"21:20:24",10
"21:20:27",10
"21:20:30",15
"21:20:33",15
"21:20:36",15
"21:20:39",15
"21:20:42",10
"21:20:45",15
"21:20:48",10
"21:20:51",10
"21:20:54",15
"21:20:57",15
"21:21:00",10
"21:21:03",15
"21:21:06",20
"21:21:09",20
"21:21:12",15
"21:21:15",0
"21:21:18",20
"21:21:21",10
"21:21:24",10
"21:21:27",15
"21:21:30",5
"21:21:33",5
"21:21:36",15
"21:21:39",10
"21:21:42",15
"21:21:45",10
"21:21:48",10
"21:21:51",10
"21:21:54",15
"21:21:57",5
"21:22:00",10
"21:22:03",15
"21:22:06",5
"21:22:09",20
"21:22:12",10
"21:22:15",10
"21:22:18",5
"21:22:21",15
"21:22:24",15
"21:22:27",15
"21:22:30",20
"21:22:33",15
"21:22:36",5
"21:22:39",20
"21:22:42",0
"21:22:45",15
"21:22:48",10
"21:22:51",10
"21:22:54",15
"21:22:57",15
"21:23:00",15
"21:23:03",10
"21:23:06",10
"21:23:09",15
"21:23:12",15
"21:23:15",10
"21:23:18",15
"21:23:21",25
"21:23:24",20
"21:23:27",10
"21:23:30",15
"21:23:33",15
"21:23:36",10
"21:23:39",10
"21:23:42",20
"21:23:45",5
"21:23:48",15
"21:23:51",10
"21:23:54",2986
"21:23:57",11800
"21:24:00",0
"21:24:03",0
